runner,season,timeofday,distance,avghr,maxhr,maxcadence,avgspeed,maxspeed,elevgain,elevloss,elevchange,course
Leah,SPRING,NIGHT,5.12,169,186,174,6.593406593,7.84,118,223,-105,DOWNHILL
Leah,WINTER,MORNING,5.1,156,178,175,6.132879046,7.64,144,246,-102,DOWNHILL
Leah,WINTER,MORNING,5.05,170,186,245,6.741573034,8.37,131,243,-112,DOWNHILL
Leah,SPRING,EVENING,5,113,154,249,2.982601491,6.41,892,919,-27,DOWNHILL
Leah,WINTER,EVENING,4.54,166,184,172,6.440071556,7.5,128,217,-89,DOWNHILL
Leah,WINTER,EVENING,4.53,166,181,174,6.463195691,7.19,108,236,-128,DOWNHILL
Leah,SPRING,EVENING,4.5,145,180,239,4.639175258,7.79,548,531,17,FLAT
Leah,WINTER,MORNING,4.36,126,181,179,3.75,6.77,469,453,16,FLAT
Leah,WINTER,EVENING,4.32,138,172,244,4.235294118,8.31,489,492,-3,FLAT
Leah,SPRING,AFTERNOON,4.31,128,174,193,4.118993135,7.14,548,554,-6,FLAT
Leah,WINTER,MORNING,4.16,139,179,179,4.06779661,7.74,587,561,26,UPHILL
Leah,SPRING,EVENING,4.15,128,172,210,3.829787234,7.16,512,502,10,FLAT
Leah,WINTER,EVENING,4.09,168,179,178,6.805293006,7.89,72,190,-118,DOWNHILL
Leah,SPRING,MORNING,4.02,168,188,175,6.936416185,7.79,118,213,-95,DOWNHILL
Leah,WINTER,EVENING,4.01,169,184,176,6.741573034,7.91,105,223,-118,DOWNHILL
Leah,SPRING,EVENING,4.01,173,192,174,6.805293006,8.61,95,213,-118,DOWNHILL
Leah,WINTER,EVENING,4,160,177,172,6.349206349,7.89,85,217,-132,DOWNHILL
Leah,SPRING,EVENING,4,104,126,245,3.09544282,4.18,374,351,23,UPHILL
Leah,SPRING,EVENING,4,111,173,245,3.119584055,6.7,541,528,13,FLAT
Leah,SPRING,EVENING,3.75,105,162,245,3.017602682,15.38,302,236,66,UPHILL
Leah,WINTER,EVENING,3.29,136,171,249,3.658536585,6.33,771,768,3,FLAT
Leah,AUTUMN,EVENING,3.27,159,184,179,6.844106464,8.89,79,184,-105,DOWNHILL
Leah,AUTUMN,AFTERNOON,3.25,130,176,182,3.621730382,8,289,833,-544,DOWNHILL
Leah,SPRING,EVENING,3.24,173,189,176,7.100591716,8.31,85,171,-86,DOWNHILL
Leah,WINTER,EVENING,3.22,169,184,177,7.045009785,8.53,66,177,-111,DOWNHILL
Leah,AUTUMN,EVENING,3.2,169,185,177,6.831119545,8.45,62,190,-128,DOWNHILL
Leah,AUTUMN,EVENING,3.17,168,186,178,6.870229008,9.05,59,164,-105,DOWNHILL
Leah,WINTER,EVENING,3.17,164,182,173,6.79245283,7.59,66,157,-91,DOWNHILL
